"Sample_ID","sampling_id","water_time","water_depth","water_volume","water_storage","filtering_time","filtering_volume","filter_type","chlorophyll_id","nutrient_id","barcoding_id","isotop_id","snbc_storage","snbc_freezer","notes"
"S_W00x","first letter of site & 2 digits for rank of sampling (e.g. F01)","HH:MM","m","mL","air, ice, cooler, fridge","HH:MM","mL","material, pore size","S_W00x_S or NA","S_W00x_N or NA","S_W00x_B or NA","S_W00x_I or NA","air, ice, cooler","HH:MM",NA
"S_W001","S_F01","15:10","0.3","200.0","cooler","15:12","200.0","Pompe manuelle","NA","NA","S_W001_B","NA","ice 15:26","18:00","NA"
"S_W002","S_F01","15:22","0.3","200.0","cooler","15:24","200.0","Pompe manuelle","NA","NA","S_W002_B","NA","15:28","18:00","NA"
"S_W003","S_F01","15:30","0.3","200.0","cooler","15:37","200.0","Pompe manuelle","NA","NA","S_W003_B","NA","15:38","18:00","NA"
"S_W004","S_F02","14:04","0.5","200.0","cooler","14:04","200.0","Pompe manuelle","NA","NA","S_W004_B","S_W004_I","14:30","18:00","NA"
"S_W005","S_F02","14:04","0.5","200.0","cooler","14:04","200.0","Pompe manuelle","NA","NA","S_W005_B","S_W005_I","14:30","18:00","NA"
"S_W006","S_F02","14:26","0.5","200.0","cooler","14:26","200.0","Pompe manuelle","NA","NA","S_W006_B","S_W006_I","14:30","18:00","NA"
"S_W007","S_F03","12:45","0.5","200.0","cooler","12:45","200.0","Pompe manuelle","NA","NA","S_W007_B","S_W007_I","13:00","17:00","NA"
"S_W008","S_F03","12:45","0.5","200.0","cooler","12:45","200.0","Pompe manuelle","NA","NA","S_W008_B","S_W008_I","13:00","17:00","NA"
"S_W009","S_F03","13:00","0.5","200.0","cooler","13:00","200.0","Pompe manuelle","NA","NA","S_W009_B","S_W009_I","13:00","17:00","NA"
"S_W010","S_F04","12:50","0.2","200.0","cooler","12:50","200.0","Pompe manuelle","NA","NA","S_W010_B","S_W010_I","13:00","17:00","NA"
"S_W011","S_F04","12:50","0.2","200.0","cooler","12:50","200.0","Pompe manuelle","NA","NA","S_W011_B","S_W011_I","13:00","17:00","NA"
"S_W012","S_F04","12:50","0.2","200.0","cooler","12:50","200.0","Pompe manuelle","NA","NA","S_W012_B","S_W012_I","13:00","17:00","NA"
"S_W013","S_F05","13:01","0.5","200.0","cooler","13:21","200.0","Pompe manuelle","NA","NA","S_W013_B","S_W013_I","13:30","17:00","NA"
"S_W014","S_F05","13:01","0.5","200.0","cooler","13:21","200.0","Pompe manuelle","NA","NA","S_W014_B","S_W014_I","13:30","17:00","NA"
"S_W015","S_F05","13:01","0.5","200.0","cooler","13:21","200.0","Pompe manuelle","NA","NA","S_W015_B","S_W015_I","13:30","17:00","NA"
"S_W016","S_F06","10:30","0.5","200.0","cooler","14:00","200.0","Pompe manuelle","NA","NA","S_W016_B","S_W016_I","15:00","15:00","NA"
"S_W017","S_F06","10:30","0.5","200.0","cooler","14:00","200.0","Pompe manuelle","NA","NA","S_W017_B","S_W017_I","15:00","15:00","NA"
"S_W018","S_F06","10:30","0.5","200.0","cooler","14:00","200.0","Pompe manuelle","NA","NA","S_W018_B","S_W017_I","15:00","15:00","NA"
"S_W019","S_F07","11:26","0.5","200.0","cooler","11:30","200.0","Pompe manuelle","NA","NA","S_W019_B","S_W019_I","13:00","15:00","NA"
"S_W020","S_F07","11:26","0.5","200.0","cooler","11:30","200.0","Pompe manuelle","NA","NA","S_W020_B","S_W020_I","13:00","15:00","NA"
"S_W021","S_F07","11:26","0.5","200.0","cooler","11:30","200.0","Pompe manuelle","NA","NA","S_W021_B","S_W021_I","13:00","15:00","NA"
"S_W022","S_F11","13:10","0.5","200.0","cooler","13:10","200.0","Pompe manuelle","NA","NA","S_W022_B","S_W022_I","13:00","15:00","envoye"
"S_W023","S_F11","13:20","0.5","200.0","cooler","13:20","200.0","Pompe manuelle","NA","NA","S_W023_B","S_W023_I","13:00","15:00","envoye"
"S_W024","S_F11","13:30","0.5","200.0","cooler","13:30","200.0","Pompe manuelle","NA","NA","S_W024_B","S_W024_I","13:00","15:00","envoye"
"S_W025","S_F14","12:00","0.5","200.0","cooler","12:00","200.0","Pompe manuelle","NA","NA","S_W025_B","S_W025_I","13:00","15:00","NA"
"S_W026","S_F14","12:00","0.5","200.0","cooler","12:00","200.0","Pompe manuelle","NA","NA","S_W026_B","S_W026_I","13:00","15:00","NA"
"S_W027","S_F14","12:00","0.5","200.0","cooler","12:00","200.0","Pompe manuelle","NA","NA","S_W027_B","S_W027_I","13:00","15:00","NA"
"S_W028","S_F17","11:00","0.5","200.0","cooler","11:00","200.0","Pompe manuelle","NA","NA","S_W028_B","S_W028_I","11:20","14:00","NA"
"S_W029","S_F17","11:00","0.5","200.0","cooler","11:00","200.0","Pompe manuelle","NA","NA","S_W029_B","S_W029_I","11:20","14:00","NA"
"S_W030","S_F17","11:00","0.5","200.0","cooler","11:00","200.0","Pompe manuelle","NA","NA","S_W030_B","S_W030_I","11:20","14:00","NA"
"S_W031","S_F18","NA","NA","NA","cooler","NA","200.0","Pompe manuelle","NA","NA","NA","NA","NA","NA","NA"
"S_W032","S_F18","NA","NA","NA","cooler","NA","200.0","Pompe manuelle","NA","NA","NA","NA","NA","NA","NA"
"S_W033","S_F18","NA","NA","NA","cooler","NA","200.0","Pompe manuelle","NA","NA","NA","NA","NA","NA","NA"
"S_W034","S_F20","NA","NA","NA","cooler","NA","200.0","Pompe manuelle","NA","NA","NA","NA","NA","NA","NA"
"S_W035","S_F20","NA","NA","NA","cooler","NA","200.0","Pompe manuelle","NA","NA","NA","NA","NA","NA","NA"
"S_W036","S_F20","NA","NA","NA","cooler","NA","200.0","Pompe manuelle","NA","NA","NA","NA","NA","NA","NA"
"S_W037","S_F21","NA","NA","NA","cooler","NA","200.0","Pompe manuelle","NA","NA","S_W037_B","S_W037_I","NA","NA","NA"
"S_W038","S_F21","NA","NA","NA","cooler","NA","200.0","Pompe manuelle","NA","NA","S_W038_B","S_W038_I","NA","NA","NA"
"S_W039","S_F21","NA","NA","NA","cooler","NA","200.0","Pompe manuelle","NA","NA","S_W039_B","S_W039_I","NA","NA","NA"
